GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,3,10,0.00156299
MOGA2,instancia10_5.dat,GW,2,102,0.0201005
MOGA2,instancia10_5.dat,E,5,33,0.00375469
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,3,38,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,10,0.000937793
MOGA2WS,instancia10_5.dat,GW,2,24,0.00312695
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,2,107,0.010101
MOGA2,instancia10_5.dat,E,5,33,0.00250627
MOGA2,instancia10_5.dat,UF,5,55,0.00501253
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2,instancia10_5.dat,GW,3,67,0.0100503
MOGA2WS,instancia10_5.dat,GW,2,21,0.00375469
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,E,5,34,0.00250627
MOGA2WS,instancia10_5.dat,E,4,10,0.000937793
MOGA2,instancia10_5.dat,UF,5,80,0.00502513
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,3,134,0.0150754
MOGA2WS,instancia10_5.dat,GW,2,101,0.0100503
MOGA2,instancia10_5.dat,E,4,22,0.00187617
MOGA2WS,instancia10_5.dat,E,3,10,0.00156299
MOGA2,instancia10_5.dat,UF,5,59,0.00501253
MOGA2WS,instancia10_5.dat,UF,4,11,0.000937793
MOGA2,instancia10_5.dat,GW,2,120,0.0150754
MOGA2WS,instancia10_5.dat,GW,2,84,0.010101
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,E,5,10,0.000937793
MOGA2,instancia10_5.dat,E,5,23,0.00250627
MOGA2,instancia10_5.dat,UF,5,44,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,11,0.000937793
MOGA2,instancia10_5.dat,GW,3,116,0.020202
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,2,24,0.00312695
MOGA2,instancia10_5.dat,E,5,24,0.00250313
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2,instancia10_5.dat,UF,4,86,0.00502513
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2,instancia10_5.dat,GW,2,57,0.00502513
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,2,43,0.0100503
MOGA2,instancia10_5.dat,E,4,22,0.00250627
MOGA2WS,instancia10_5.dat,E,4,10,0.000937793
MOGA2,instancia10_5.dat,UF,5,39,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,11,0.000937793
GreedyMO,instancia10_5.dat,-,2,19,0.00250313
MOGA2,instancia10_5.dat,GW,3,96,0.010101
MOGA2WS,instancia10_5.dat,GW,2,70,0.0100503
MOGA2,instancia10_5.dat,E,4,28,0.00312695
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2WS,instancia10_5.dat,UF,4,11,0.000937793
MOGA2,instancia10_5.dat,UF,5,60,0.00502513
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,2,21,0.00375469
MOGA2,instancia10_5.dat,GW,3,142,0.010101
MOGA2,instancia10_5.dat,E,5,39,0.00250627
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2,instancia10_5.dat,UF,4,42,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2,instancia10_5.dat,GW,2,122,0.020202
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,2,44,0.00502513
MOGA2,instancia10_5.dat,E,4,38,0.00250627
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,4,77,0.00502513
MOGA2WS,instancia10_5.dat,UF,5,10,0.000937793
MOGA2,instancia10_5.dat,GW,2,88,0.0100503
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,3,17,0.00312695
MOGA2,instancia10_5.dat,E,3,32,0.00250627
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,28,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2WS,instancia10_5.dat,GW,3,10,0.00156299
MOGA2,instancia10_5.dat,GW,2,98,0.0150754
GreedyMO,instancia10_5.dat,-,2,19,0.00250313
MOGA2,instancia10_5.dat,E,4,32,0.00375469
MOGA2WS,instancia10_5.dat,E,5,10,0.000937793
MOGA2WS,instancia10_5.dat,UF,4,10,0.000937793
MOGA2,instancia10_5.dat,UF,4,38,0.00250627
MOGA2,instancia10_5.dat,GW,3,154,0.020202
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,GW,2,21,0.00375469
MOGA2,instancia10_5.dat,E,4,33,0.00250627
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,37,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,11,0.000937793
MOGA2,instancia10_5.dat,GW,2,121,0.0201005
GreedyMO,instancia10_5.dat,-,3,10,0.00156299
MOGA2WS,instancia10_5.dat,GW,2,54,0.00502513
MOGA2,instancia10_5.dat,E,5,31,0.00502513
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,40,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,2,116,0.020202
MOGA2WS,instancia10_5.dat,GW,3,10,0.00125039
MOGA2,instancia10_5.dat,E,5,37,0.00250627
MOGA2WS,instancia10_5.dat,E,3,10,0.00156299
MOGA2,instancia10_5.dat,UF,5,42,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,2,164,0.020202
MOGA2WS,instancia10_5.dat,GW,3,17,0.00312695
MOGA2,instancia10_5.dat,E,4,33,0.00250627
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,51,0.00250627
MOGA2WS,instancia10_5.dat,UF,4,10,0.000937793
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,2,155,0.030303
MOGA2WS,instancia10_5.dat,GW,2,24,0.00312695
MOGA2,instancia10_5.dat,E,5,50,0.00502513
MOGA2WS,instancia10_5.dat,E,3,10,0.00156299
MOGA2,instancia10_5.dat,UF,5,36,0.00250627
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2WS,instancia10_5.dat,GW,3,10,0.00156299
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,3,106,0.010101
MOGA2,instancia10_5.dat,E,5,24,0.00250313
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,48,0.00250627
MOGA2WS,instancia10_5.dat,UF,4,10,0.000937793
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2,instancia10_5.dat,GW,3,116,0.0150754
MOGA2WS,instancia10_5.dat,GW,3,10,0.00125039
MOGA2,instancia10_5.dat,E,5,28,0.00250313
MOGA2WS,instancia10_5.dat,E,4,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,69,0.00502513
MOGA2WS,instancia10_5.dat,UF,5,12,0.000625391
MOGA2,instancia10_5.dat,E,5,35,0.00250627
MOGA2,instancia10_5.dat,GW,2,161,0.030303
MOGA2WS,instancia10_5.dat,GW,2,89,0.010101
GreedyMO,instancia10_5.dat,-,3,10,0.00125039
MOGA2WS,instancia10_5.dat,E,3,10,0.00125039
MOGA2,instancia10_5.dat,UF,5,59,0.00502513
MOGA2WS,instancia10_5.dat,UF,4,10,0.000937793
