Instance Name,Alpha,Beta,Gamma,Solver,Execution Time (ms),Cost,Feasible,GW Used,Energy,UF
instance.dat,1,0.1,7.8,Greedy,149,255.918,Yes,21,2346,0.0407915
instance.dat,1,0.1,7.8,Greedy,145,286.402,Yes,17,2689,0.0643153
instance.dat,1,0.1,7.8,Greedy,141,280.085,Yes,17,2627,0.0492964
instance.dat,1,0.1,7.8,Greedy,147,294.588,Yes,17,2770,0.0753229
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.8518,Yes,9,244,0.0579223
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.9121,Yes,11,225,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4121,Yes,10,240,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,2,35.9309,Yes,12,234,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,32.9337,Yes,10,226,0.0427836
ihu_100_10_100.dat,1,0.1,7.8,Greedy,4,34.5121,Yes,11,231,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.8121,Yes,9,244,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4121,Yes,10,240,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.6121,Yes,11,232,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.5309,Yes,9,250,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.5121,Yes,11,231,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,35.1121,Yes,11,237,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,37.1121,Yes,13,237,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.7121,Yes,10,243,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.6309,Yes,10,241,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.9121,Yes,10,245,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4121,Yes,10,240,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,2,35.8121,Yes,11,244,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,35.2309,Yes,10,247,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,35.4121,Yes,11,240,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4309,Yes,10,239,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.7518,Yes,9,243,0.0579223
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.0121,Yes,10,236,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.8309,Yes,10,233,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.2121,Yes,10,228,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.7518,Yes,9,243,0.0579223
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.3121,Yes,11,229,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.3309,Yes,10,228,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,35.4309,Yes,10,249,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.2337,Yes,9,239,0.0427836
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.3309,Yes,11,228,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4309,Yes,9,249,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,36.4121,Yes,12,240,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.6126,Yes,9,242,0.0528972
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.1309,Yes,10,236,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,4,34.2121,Yes,10,238,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,35.6121,Yes,11,242,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.7309,Yes,10,242,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.4337,Yes,10,241,0.0427836
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.1309,Yes,10,236,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,33.6121,Yes,11,222,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.1823,Yes,11,228,0.0490156
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.1309,Yes,10,236,0.0680615
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.3121,Yes,11,229,0.0528339
ihu_100_10_100.dat,1,0.1,7.8,Greedy,3,34.6121,Yes,10,242,0.0528339
instancia10_5.dat,1,0.1,7.8,Greedy,1,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,1,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,31,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,30,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,1,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.41219,Yes,3,14,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01955,Yes,2,20,0.00250627
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,3.91952,Yes,2,19,0.00250313
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.01219,Yes,3,10,0.00156299
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
instancia10_5.dat,1,0.1,7.8,Greedy,0,4.00975,Yes,3,10,0.00125039
