solver,gap,tr,distr,ed,g,mapa,alfa,beta,gama,fo,gw,eng,tiempo
ilp,5,hard,unif,100,10,100,1,0.01,1,2.31,1,117,0.14
ilp,5,hard,unif,100,10,100,1,0.1,1,12.7,2,106,0.103
ilp,5,hard,unif,100,10,100,1,1,1,108.9,8,100,0.096
ilp,5,hard,unif,100,10,100,1,10,1,1008.9,8,100,0.096
ilp,5,hard,unif,100,10,100,10,0.01,1,11.27,1,111,0.158
ilp,5,hard,unif,100,10,100,1,0.01,100,7.92,3,153,0.034
ilp,6,hard,unif,100,10,100,1,0.1,100,18.51,4,100,0.045
ilp,5,hard,unif,100,10,100,1,1,100,110.1,6,100,0.041
ilp,5,hard,unif,100,10,100,10,0.01,100,21.38,1,180,0.096
ilp,5,hard,unif,100,10,100,1,0.01,1,2.31,1,117,0.14
ilp,6,hard,unif,100,10,100,1,0.01,10,3.45,1,132,0.113
ilp,5,hard,unif,100,10,100,1,0.01,100,7.92,3,153,0.034
ilp,6,hard,unif,100,10,100,10,0.01,10,12.43,1,123,0.12
ilp,5,hard,unif,100,10,100,10,0.01,1,11.27,1,111,0.158
ilp,5,hard,unif,100,10,100,1,0.01,1,2.31,1,117,0.14
ilp,6,hard,unif,100,10,100,1,0.01,10,3.45,1,132,0.113
ilp,6,hard,unif,100,10,100,1,0.1,10,13.29,2,102,0.109
ilp,6,hard,unif,100,10,100,1,1,10,106.37,6,100,0.109
ilp,6,hard,unif,100,10,100,1,10,10,1008.95,8,100,0.096
ilp,6,hard,unif,100,10,100,1,10,100,1017.58,8,100,0.096
greedy,0,hard,unif,100,10,100,1,1,1,0,1,105,0.173534
greedy,0,hard,unif,100,10,100,1,1,1,0,1,102,0.178548 
greedy,0,hard,unif,100,10,100,1,1,1,0,1,102,0.178548    